,Name,Weight,Material,Density,Shape,Efficient,Sound
0,Shield4e,3.45,Wood Abaci,0.87,Medium-length Even,True,Sound4
1,Shield1e,0.76,Wood Abaci,0.16,Medium-broad Long,True,Sound1
2,Shield2e,0.18,Wood Abaci,0.03,Slim Short,True,Sound2
3,Shield42e,0.21,Wood Ebony,0.86,Slim Long,True,Sound42
4,Shield74e,0.35000000000000003,Inconel,0.72,Slim Even,True,Sound74
5,Shield101e,0.47000000000000003,Steel,0.81,Short Even,True,Sound101
6,Shield54e,0.13,Wood Hickory,0.96,Even Not-Even,True,Sound54
7,Shield20e,0.23,Wood Apple,0.8200000000000001,Medium-length Even,True,Sound20
8,Shield60e,0.25,Wood Ipe,0.53,Medium-length Slim,True,Sound60
9,Shield13e,0.4,Wood African Mahogany,0.87,Short Medium-broad,True,Sound13
10,Shield51e,0.39,Wood Hickory,0.37,Long Medium-broad,True,Sound51
11,Shield40e,0.52,Wood Ebony,0.9500000000000001,Broad Not-Even,True,Sound40
12,Shield61e,1.18,Wood Ipe,0.77,Short Medium-length,True,Sound61
13,Shield19e,0.6900000000000001,Wood Apple,0.44,Long Medium-broad,True,Sound19
14,Shield52e,1.22,Wood Hickory,0.77,Medium-length Slim,True,Sound52
15,Shield22e,3.5100000000000002,Wood Apple,0.06,Even Short,True,Sound22
16,Shield66e,4.5600000000000005,Iron,0.86,Slim Not-Even,True,Sound66
17,Shield88e,4.09,Titanium,0.79,Broad Slim,True,Sound88
18,Shield3e,1.22,Wood Abaci,0.27,Long Medium-broad,True,Sound3
19,Shield90e,1.57,Titanium,0.5700000000000001,Slim Medium-broad,True,Sound90
20,Shield17e,1.61,Wood Apple,0.63,Medium-broad Short,True,Sound17
21,Shield24e,1.6600000000000001,Wood Chesnut,0.18,Broad Slim,True,Sound24
22,Shield78e,3.45,Inconel,0.93,Even Short,True,Sound78
23,Shield71e,3.79,Iron,0.8300000000000001,Not-Even Short,True,Sound71
24,Shield32e,1.9100000000000001,Wood Cumaru,0.49,Broad Medium-length,True,Sound32
25,Shield0e,2.62,Wood Abaci,0.5700000000000001,Broad Even,True,Sound0
26,Shield21e,3.2,Wood Apple,0.34,Short Medium-broad,True,Sound21
27,Shield16e,3.17,Wood Apple,0.71,Broad Slim,True,Sound16
28,Shield100e,3.3200000000000003,Steel,0.77,Medium-length Short,True,Sound100
29,Shield33e,3.11,Wood Cumaru,0.67,Medium-broad Short,True,Sound33
30,Shield99e,3.06,Steel,0.6,Long Medium-length,True,Sound99
31,Shield5e,2.47,Wood Abaci,0.03,Short Broad,True,Sound5
32,Shield98e,1.9000000000000001,Steel,0.09,Slim Long,True,Sound98
33,Shield11e,2.0,Wood African Mahogany,0.35000000000000003,Long Medium-broad,True,Sound11
34,Shield53e,2.1,Wood Hickory,0.37,Short Even,True,Sound53
35,Shield36e,2.25,Wood Cumaru,0.67,Medium-length Even,True,Sound36
36,Shield91e,2.23,Titanium,0.02,Long Medium-length,True,Sound91
37,Shield62e,2.0100000000000002,Wood Ipe,0.5,Even Slim,True,Sound62
38,Shield74,0.35000000000000003,Inconel,0.72,Slim Even,False,Sound74
39,Shield2,0.18,Wood Abaci,0.03,Slim Short,False,Sound2
40,Hand,1.0,Wood Abaci,1.0,Medium-broad Medium-length,False,hhwee
